ibge7,cod_ibge,municipio,uf,lon,lat,regiao_metro,capital
1100015,110001,'ALTA FLORESTA D''OESTE',RO,-61.9958651,-11.9287293,NA,NA
1100023,110002,ARIQUEMES,RO,-63.0330263,-9.9061087,NA,NA
1100031,110003,CABIXI,RO,-60.6285091,-13.4623774,NA,NA
1100049,110004,CACOAL,RO,-61.4566885,-11.434693,NA,NA
1100056,110005,CEREJEIRAS,RO,-61.2801996,-13.2109867,NA,NA
1100064,110006,COLORADO DO OESTE,RO,-60.5459451,-13.1178429,NA,NA
1100072,110007,CORUMBIARA,RO,-60.9460084,-12.9986334,NA,NA
1100080,110008,COSTA MARQUES,RO,-64.2268052,-12.4380262,NA,NA
1100098,110009,'ESPIGAO D''OESTE',RO,-61.0169967,-11.5323149,NA,NA
1100106,110010,GUAJARA-MIRIM,RO,-65.3301049,-10.789321,NA,NA
1100114,110011,JARU,RO,-62.4792921,-10.4322235,NA,NA
1100122,110012,JI-PARANA,RO,-61.9326728,-10.8781412,NA,NA
1100130,110013,'MACHADINHO D''OESTE',RO,-61.8877321,-9.2306221,NA,NA
1100148,110014,'NOVA BRASILANDIA D''OESTE',RO,-62.3131895,-11.725083,NA,NA
1100155,110015,OURO PRETO DO OESTE,RO,-62.3095833,-10.6008331,NA,NA
1100189,110018,PIMENTA BUENO,RO,-61.1984811,-11.6723638,NA,NA
1100205,110020,PORTO VELHO,RO,-63.9004303,-8.7611605,RM Porto Velho,1
1100254,110025,PRESIDENTE MEDICI,RO,-61.7941232,-11.0811465,NA,NA
1100262,110026,RIO CRESPO,RO,-62.7794229,-9.6681036,NA,NA
1100288,110028,ROLIM DE MOURA,RO,-61.7781519,-11.7257556,NA,NA
1100296,110029,'SANTA LUZIA D''OESTE',RO,-61.7784821,-11.9071996,NA,NA
1100304,110030,VILHENA,RO,-60.1304566,-12.7414031,NA,NA
1100320,110032,SAO MIGUEL DO GUAPORE,RO,-62.7144846,-11.6939069,NA,NA
1100338,110033,NOVA MAMORE,RO,-65.3305851,-10.4106668,NA,NA
1100346,110034,'ALVORADA D''OESTE',RO,-62.28777,-11.3480881,NA,NA
1100379,110037,ALTO ALEGRE DOS PARECIS,RO,-61.8566786,-12.1326079,NA,NA
1100403,110040,ALTO PARAISO,RO,-63.3188117,-9.7205291,NA,NA
1100452,110045,BURITIS,RO,-63.8640569,-10.1269585,NA,NA
1100502,110050,NOVO HORIZONTE DO OESTE,RO,-62.1219725,-11.6485814,NA,NA
1100601,110060,CACAULANDIA,RO,-62.9205918,-10.3716856,NA,NA
1100700,110070,CAMPO NOVO DE RONDONIA,RO,-63.8640569,-10.4557067,NA,NA
1100809,110080,CANDEIAS DO JAMARI,RO,-63.4862036,-8.7975498,RM Porto Velho,NA
1100908,110090,CASTANHEIRAS,RO,-61.943236,-11.4139048,NA,NA
1100924,110092,CHUPINGUAIA,RO,-60.9029619,-12.5557924,NA,NA
1100940,110094,CUJUBIM,RO,-62.5443612,-9.2052569,NA,NA
1101005,110100,GOVERNADOR JORGE TEIXEIRA,RO,-63.1089658,-10.7167414,NA,NA
1101104,110110,ITAPUA DO OESTE,RO,-63.185581,-9.1885166,NA,NA
1101203,110120,MINISTRO ANDREAZZA,RO,-61.5603244,-11.1798553,NA,NA
1101302,110130,MIRANTE DA SERRA,RO,-62.6714775,-11.0289123,NA,NA
1101401,110140,MONTE NEGRO,RO,-63.2963286,-10.2620182,NA,NA
1101435,110143,NOVA UNIAO,RO,-62.4973826,-10.8641144,NA,NA
1101450,110145,PARECIS,RO,-61.4202019,-12.1911639,NA,NA
1101468,110146,PIMENTEIRAS DO OESTE,RO,-61.7941232,-13.064243,NA,NA
1101476,110147,PRIMAVERA DE RONDONIA,RO,-61.3035248,-11.8693904,NA,NA
1101484,110148,'SAO FELIPE D''OESTE',RO,-61.4668962,-11.9079161,NA,NA
1101492,110149,SAO FRANCISCO DO GUAPORE,RO,-63.5691831,-12.0600542,NA,NA
1101500,110150,SERINGUEIRAS,RO,-63.031406,-11.7654562,NA,NA
1101559,110155,TEIXEIROPOLIS,RO,-62.2861215,-10.9460095,NA,NA
1101609,110160,THEOBROMA,RO,-62.3565156,-10.1576141,NA,NA
1101708,110170,URUPA,RO,-62.3635277,-11.1242915,NA,NA
1101757,110175,VALE DO ANARI,RO,-62.1757236,-9.8574383,NA,NA
1101807,110180,VALE DO PARAISO,RO,-62.1219725,-10.5015572,NA,NA
1200013,120001,ACRELANDIA,AC,-67.0586977,-10.0763918,NA,NA
1200054,120005,ASSIS BRASIL,AC,-69.9550338,-10.7579579,NA,NA
1200104,120010,BRASILEIA,AC,-69.1923916,-10.705993,NA,NA
1200138,120013,BUJARI,AC,-67.9555789,-9.8156638,NA,NA
1200179,120017,CAPIXABA,AC,-67.675122,-10.572112,NA,NA
1200203,120020,CRUZEIRO DO SUL,AC,-72.6761608,-7.6280405,NA,NA
1200252,120025,EPITACIOLANDIA,AC,-68.5724112,-10.8751696,NA,NA
1200302,120030,FEIJO,AC,-70.3529311,-8.1642847,NA,NA
1200328,120032,JORDAO,AC,-71.8571331,-9.1634876,NA,NA
1200336,120033,MANCIO LIMA,AC,-73.3708696,-7.5468003,NA,NA
1200344,120034,MANOEL URBANO,AC,-69.2619137,-8.8379028,NA,NA
1200351,120035,MARECHAL THAUMATURGO,AC,-72.6151169,-9.0314758,NA,NA
1200385,120038,PLACIDO DE CASTRO,AC,-67.2847875,-10.2313205,NA,NA
1200393,120039,PORTO WALTER,AC,-72.8042797,-8.5316163,NA,NA
1200401,120040,RIO BRANCO,AC,-67.824918,-9.9753837,NA,1
1200427,120042,RODRIGUES ALVES,AC,-73.3708696,-7.881874,NA,NA
1200435,120043,SANTA ROSA DO PURUS,AC,-70.1455805,-9.071283,NA,NA
1200450,120045,SENADOR GUIOMARD,AC,-67.7367345,-10.1500737,NA,NA
1200500,120050,SENA MADUREIRA,AC,-69.2877535,-9.6096717,NA,NA
1200609,120060,TARAUACA,AC,-71.3824374,-8.2132323,NA,NA
1200708,120070,XAPURI,AC,-68.4293214,-10.6521259,NA,NA
1200807,120080,PORTO ACRE,AC,-67.71391,-9.6333647,NA,NA
1300029,130002,ALVARAES,AM,-65.3807101,-3.7751449,NA,NA
1300060,130006,AMATURA,AM,-68.2010007,-3.3749087,NA,NA
1300086,130008,ANAMA,AM,-61.7941232,-3.5155735,NA,NA
1300102,130010,ANORI,AM,-61.6070583,-3.7979302,NA,NA
1300144,130014,APUI,AM,-59.4720904,-7.6269603,NA,NA
1300201,130020,ATALAIA DO NORTE,AM,-70.190894,-4.3670958,NA,NA
1300300,130030,AUTAZES,AM,-59.5642369,-3.7225517,RM Manaus,NA
1300409,130040,BARCELOS,AM,-63.2032151,-0.2674076,NA,NA
1300508,130050,BARREIRINHA,AM,-57.1915504,-3.0793652,NA,NA
