wdb_code,region,pt,iso3,ponto_lat,ponto_lon,is_small,continent5,continent7
AFG,Afghanistan,Afeganistão,AFG,34.28,65.68,NA,Asia,Asia
ALB,Albania,Albânia,ALB,41.22,19.98,NA,Europe,Europe
DZA,Algeria,Argélia,DZA,27.92,2.62,NA,Africa,Africa
AND,Andorra,Andorra,AND,42.54,1.56,Yes,Europe,Europe
AGO,Angola,Angola,AGO,-12.65,17.58,NA,Africa,Africa
ATG,Antigua,Antígua e Barbuda,ATG,17.08,-61.8,NA,America,Central America
ARG,Argentina,Argentina,ARG,-33.69,-65.08,NA,America,South America
ARM,Armenia,Armênia,ARM,40.35,44.56,NA,Asia,Europe
ABW,Aruba,Aruba,ABW,12.5,-69.96,NA,America,Central America
AUS,Australia,Austrália,AUS,-25.08,134.25,NA,Oceania,Oceania
AUT,Austria,Áustria,AUT,47.52,14.12,NA,Europe,Europe
AZE,Azerbaijan,Azerbaijão,AZE,40.32,47.99,NA,Asia,Europe
BHS,Bahamas,Bahamas,BHS,24.68,-78.03,Yes,America,Central America
BHR,Bahrain,Bahrein,BHR,26.04,50.55,Yes,Asia,Asia
BGD,Bangladesh,Bangladesh,BGD,24.15,90.23,NA,Asia,Asia
BRB,Barbados,Barbados,BRB,13.16,-59.55,Yes,America,Central America
BLR,Belarus,Bielorússia,BLR,53.48,28.14,NA,Europe,Europe
BEL,Belgium,Bélgica,BEL,50.64,4.67,NA,Europe,Europe
BLZ,Belize,Belize,BLZ,16.92,-88.71,NA,America,Central America
BEN,Benin,Benin,BEN,9.64,2.35,NA,Africa,Africa
BTN,Bhutan,Butão,BTN,27.41,90.45,NA,Asia,Asia
BOL,Bolivia,Bolívia,BOL,-16.73,-64.63,NA,America,South America
BIH,Bosnia and Herzegovina,Bósnia e Herzegovina,BIH,44.32,17.83,NA,Europe,Europe
BWA,Botswana,Botsuana,BWA,-22.2,23.78,NA,Africa,Africa
BRA,Brazil,Brasil,BRA,-8.66,-52.32,NA,America,South America
BRN,Brunei,Brunei,BRN,4.5,114.61,Yes,Asia,Asia
BGR,Bulgaria,Bulgária,BGR,42.47,25.18,NA,Europe,Europe
BFA,Burkina Faso,Burkina Faso,BFA,12.28,-1.73,NA,Africa,Africa
BDI,Burundi,Burundi,BDI,-3.31,29.92,NA,Africa,Africa
CPV,Cape Verde,Cabo Verde,CPV,15.24,-23.68,Yes,Africa,Africa
KHM,Cambodia,Camboja,KHM,12.57,104.98,NA,Asia,Asia
CMR,Cameroon,Camarões,CMR,5.63,12.74,NA,Africa,Africa
CAN,Canada,Canadá,CAN,54.28,-104.85,NA,America,North America
CAF,Central African Republic,Rep. Centro Africana,CAF,6.58,20.47,NA,Africa,Africa
TCD,Chad,Chade,TCD,15,18.72,NA,Africa,Africa
CHI,Channel Islands,Ilhas do Canal,NA,49.33,-2.32,NA,Europe,Europe
CHL,Chile,Chile,CHL,-28.68,-71.25,NA,America,South America
CHN,China,China,CHN,34.88,103.6,NA,Asia,Asia
COL,Colombia,Colômbia,COL,3.22,-72.99,NA,America,South America
COM,Comoros,Comores,COM,-11.67,43.34,Yes,Africa,Africa
COG,Republic of Congo,Rep. do Congo,COG,-0.79,15.7,NA,Africa,Africa
CRI,Costa Rica,Costa Rica,CRI,9.93,-83.99,NA,America,Central America
HRV,Croatia,Croácia,HRV,45.01,15.13,NA,Europe,Europe
CUB,Cuba,Cuba,CUB,21.74,-78.8,NA,America,Central America
CUW,Curaçao,Curaçao,CUW,12.17,-68.99,Yes,America,Central America
CYP,Cyprus,Chipre,CYP,34.99,33.19,Yes,Europe,Europe
CZE,Czech Republic,Tchéquia,CZE,49.66,15.31,NA,Europe,Europe
COD,Democratic Republic of the Congo,Rep. Dem. do Congo,COD,-2.82,23.62,NA,Africa,Africa
DNK,Denmark,Dinamarca,DNK,55.59,10.11,NA,Europe,Europe
DJI,Djibouti,Djibouti,DJI,11.73,42.58,NA,Africa,Africa
DOM,Dominican Republic,Rep. Dominicana,DOM,18.89,-70.25,NA,America,Central America
ECU,Ecuador,Equador,ECU,-1.39,-78.47,NA,America,South America
EGY,Egypt,Egito,EGY,26.68,29.92,NA,Africa,Africa
SLV,El Salvador,El Salvador,SLV,13.69,-88.85,NA,America,Central America
GNQ,Equatorial Guinea,Guiné Equatorial,GNQ,1.55,10.48,NA,Africa,Africa
ERI,Eritrea,Eritréia,ERI,15.48,38.92,NA,Africa,Africa
EST,Estonia,Estônia,EST,58.68,25.78,NA,Europe,Europe
ETH,Ethiopia,Etiópia,ETH,8.56,39.54,NA,Africa,Africa
FJI,Fiji,Fiji,FJI,-17.82,177.97,Yes,Oceania,Oceania
FIN,Finland,Finlândia,FIN,61.92,25.76,NA,Europe,Europe
FRA,France,França,FRA,46.76,2.47,NA,Europe,Europe
PYF,French Polynesia,Polinésia Francesa,PYF,-17.64,-149.45,Yes,Oceania,Oceania
GAB,Gabon,Gabão,GAB,-0.6,11.77,NA,Africa,Africa
GMB,Gambia,Gâmbia,GMB,13.49,-15.51,Yes,Africa,Africa
