nome;uf;cod_tse;cod_ibge
BRAS?LIA;DF;97012;5300108
VILA PROP?CIO;GO;93505;5222302
VILA BOA;GO;93289;5222203
VICENTIN?POLIS;GO;96571;5222054
VIAN?POLIS;GO;96415;5222005
VARJ?O;GO;96393;5221908
VALPARA?SO DE GOI?S;GO;93300;5221858
URUTA?;GO;96377;5221809
URUANA;GO;96350;5221700
URUA?U;GO;96334;5221601
UIRAPURU;GO;93246;5221577
TURVEL?NDIA;GO;92800;5221551
TURV?NIA;GO;96318;5221502
TROMBAS;GO;92789;5221452
TRINDADE;GO;96253;5221403
TR?S RANCHOS;GO;96237;5221304
TEREZ?POLIS DE GOI?S;GO;93220;5221197
TERESINA DE GOI?S;GO;92762;5221080
TAQUARAL DE GOI?S;GO;96172;5221007
S?TIO D'ABADIA;GO;96113;5220702
SIMOL?NDIA;GO;92720;5220686
SILV?NIA;GO;96091;5220603
SERRAN?POLIS;GO;96075;5220504
SENADOR CANEDO;GO;92703;5220454
S?O SIM?O;GO;96059;5220405
S?O PATR?CIO;GO;93483;5220280
S?O MIGUEL DO PASSA QUATRO;GO;92665;5220264
S?O MIGUEL DO ARAGUAIA;GO;96016;5220207
S?O LUIZ DO NORTE;GO;92649;5220157
S?O LU?S DE MONTES BELOS;GO;95990;5220108
S?O JO?O DA PARA?NA;GO;92622;5220058
S?O JO?O D'ALIAN?A;GO;95974;5220009
S?O FRANCISCO DE GOI?S;GO;95931;5219902
S?O DOMINGOS;GO;95915;5219803
SANTO ANT?NIO DO DESCOBERTO;GO;96776;5219753
SANTO ANT?NIO DE GOI?S;GO;92908;5219738
SANTO ANT?NIO DA BARRA;GO;93203;5219712
SANTA TEREZINHA DE GOI?S;GO;95893;5219704
SANTA TEREZA DE GOI?S;GO;95877;5219605
SANTA ROSA DE GOI?S;GO;95850;5219506
SANTA RITA DO NOVO DESTINO;GO;93440;5219456
SANTA RITA DO ARAGUAIA;GO;95834;5219407
SANTA ISABEL;GO;96890;5219357
SANTA HELENA DE GOI?S;GO;95818;5219308
SANTA F? DE GOI?S;GO;92568;5219258
SANTA CRUZ DE GOI?S;GO;95796;5219209
SANTA B?RBARA DE GOI?S;GO;95770;5219100
SANCLERL?NDIA;GO;95753;5219001
RUBIATABA;GO;95737;5218904
RIO VERDE;GO;95710;5218805
RIO QUENTE;GO;92827;5218789
RIAN?POLIS;GO;95672;5218706
RIALMA;GO;95656;5218607
QUIRIN?POLIS;GO;95630;5218508
PROFESSOR JAMIL;GO;93041;5218391
POSSE;GO;95613;5218300
PORTEL?NDIA;GO;95575;5218102
PORTEIR?O;GO;93424;5218052
PORANGATU;GO;95559;5218003
PONTALINA;GO;95494;5217708
PLANALTINA;GO;95958;5217609
PIRES DO RIO;GO;95451;5217401
PIREN?POLIS;GO;95435;5217302
PIRANHAS;GO;95419;5217203
PIRACANJUBA;GO;95397;5217104
PILAR DE GOI?S;GO;95354;5216908
PETROLINA DE GOI?S;GO;95311;5216809
PEROL?NDIA;GO;93068;5216452
PARA?NA;GO;95230;5216403
PARANAIGUARA;GO;94552;5216304
PANAM?;GO;95176;5216007
PALMIN?POLIS;GO;95150;5215900
PALMELO;GO;95133;5215801
PALMEIRAS DE GOI?S;GO;95117;5215702
PALESTINA DE GOI?S;GO;92460;5215652
PADRE BERNARDO;GO;95095;5215603
OUVIDOR;GO;95079;5215504
OURO VERDE DE GOI?S;GO;95052;5215405
ORIZONA;GO;95036;5215306
NOVO PLANALTO;GO;92444;5215256
NOVO GAMA;GO;93327;5215231
NOVO BRASIL;GO;95010;5215207
NOVA VENEZA;GO;94978;5215009
NOVA ROMA;GO;94951;5214903
NOVA IGUA?U DE GOI?S;GO;93084;5214879
NOVA GL?RIA;GO;96555;5214861
NOVA CRIX?S;GO;96539;5214838
NOVA AURORA;GO;94935;5214804
NOVA AM?RICA;GO;94919;5214705
NIQUEL?NDIA;GO;94897;5214606
NER?POLIS;GO;94870;5214507
NAZ?RIO;GO;94854;5214408
MUTUN?POLIS;GO;94790;5214101
MUNDO NOVO;GO;96512;5214051
MOZARL?NDIA;GO;94773;5214002
MOSS?MEDES;GO;94757;5213905
